id,c1,c2,c3,n1,c4,c5,n2,c6,c7,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,c8,c9,c10,n18,n19,n20,n21,n22,n23,n24,n25,percent
1,Есть,2,Нет,7280,1,Есть,306878,Да,Да,348,0,0,0,0,1251,0,325,0,702,6171,0,465,0,0,1,5,1,284525,3981120,1127989.619,742,978,0,4390,128.8797893,0.47
2,Есть,1,Нет,0,1,Есть,165464,Нет,Да,1044,0,0,0,3056,1668,272,0,394,1404,11781,0,930,0,1300,1,4,0,62895,6615488,1352007.409,1484,1956,0,10536,92.96129575,0.13
3,Есть,2,Нет,36400,1,Есть,302068,Нет,Нет,0,0,0,669,0,0,0,0,0,0,0,0,0,0,650,0,0,0,199467,5121600,2729835.537,0,0,0,5268,242.4464396,0.41
4,Нет,1,Нет,8736,2,Есть,223184,Нет,Нет,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,183893,219648,189983.1143,0,0,0,878,393.4347657,0.5
5,Есть,1,Нет,3640,1,Есть,299182,Нет,Нет,348,0,0,0,0,0,272,0,0,702,1122,0,0,0,650,1,4,0,587619,692736,831584.7124,371,489,0,878,546.0390767,0.48
6,Нет,2,Нет,10920,1,Есть,297258,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186888,2050752,2551788,371,489,0,878,566,0.18
7,Есть,1,Нет,14560,1,Есть,334776,Да,Нет,0,0,0,223,0,0,0,0,0,1404,8976,0,0,0,0,1,5,1,342029,1411520,1437362.322,371,489,0,878,463.1953643,0.48
8,Нет,1,Нет,7280,1,Есть,373256,Нет,Нет,0,0,0,0,0,834,0,2925,0,702,10659,0,465,0,0,0,0,0,385157,661056,318734.4476,742,978,0,2634,219.3187366,0.4
9,Нет,2,Да,3640,0,Есть,192400,Нет,Нет,0,0,0,223,0,0,272,0,0,0,0,0,0,0,0,0,0,0,16772,1753664,1109856.629,0,0,0,4390,287.8760119,0.1
10,Есть,1,Нет,7280,1,Есть,329004,Нет,Нет,0,1068,0,0,0,1668,0,0,0,1404,6732,0,930,750,0,1,5,1,9E+12,1091904,872197.9788,0,0,0,1756,363.3420003,0.43
11,Нет,1,Да,5824,1,Есть,229918,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,189284,1537536,738245.1219,371,489,0,878,218.4038435,0.34
12,Нет,1,Нет,3640,0,Есть,274170,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,311480,2782208,917259.3319,742,978,0,3512,149.9641768,0.37
13,Нет,1,Нет,7280,1,Есть,241462,,Нет,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256971,2497088,2784488.25,371,489,0,878,507.2201829,0.46
14,Нет,3,Нет,14560,1,Есть,240500,Нет,Нет,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46123,2690688,1717334.052,0,0,0,2634,290.3196444,0.45
15,Есть,1,Нет,10920,0,Есть,238576,Нет,Нет,0,0,0,0,0,1668,0,1300,0,1404,15708,0,930,0,0,1,5,0,288119,6460608,853305.3243,371,489,0,7902,60.07808075,0.48
16,Нет,4,Нет,7280,1,Есть,262626,Да,Нет,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273144,6321920,1261376.414,1113,1467,0,7024,90.75711742,0.29
17,Есть,1,Нет,8736,1,Есть,214526,Нет,Нет,0,3204,0,223,0,2502,0,650,0,1404,14025,0,930,750,0,1,5,1,246189,6632384,1345219.7,742,978,0,5268,92.25895711,0.34
18,Есть,1,Нет,3640,1,Нет,340548,Нет,Нет,0,3204,0,223,0,1251,0,1300,788,702,6732,0,465,750,0,1,5,1,194675,2819520,,742,978,0,6146,264.4999759,0.41
19,Нет,2,Да,3640,0,Есть,228956,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,25158,4297216,1339280.057,1113,978,339,5268,141.7650584,0.37
20,Есть,2,Нет,7280,1,Есть,228956,Нет,Нет,0,0,0,0,0,0,0,0,0,702,2244,0,0,0,0,1,4,0,513343,651904,473581.2932,371,489,0,0,330.4424834,0.35
21,Есть,5,Нет,0,1,Есть,304954,Нет,Нет,6960,3204,0,0,0,0,0,3900,0,0,0,737,0,1125,650,1,4,1,264758,2999744,1238139.468,742,489,339,5268,187.7458552,0.52
22,Есть,1,Нет,7280,0,Есть,361712,Да,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395340,1957120,1044854.733,1113,1467,0,5268,242.8417997,0.48
23,Есть,2,Нет,4368,0,Есть,309764,Нет,Нет,0,2670,0,0,0,0,0,0,0,0,0,0,0,750,0,1,4,1,504358,3222208,1336537.102,0,0,0,3512,188.6741626,0.48
24,Нет,5,Нет,7280,1,Есть,228956,Нет,Нет,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,144958,633600,330634.4637,371,489,0,0,237.3656857,0.36
25,Нет,1,Нет,10920,1,Есть,240500,Нет,Нет,0,0,0,669,0,0,0,650,0,0,0,0,0,0,0,0,0,0,116206,7433536,1580909.433,1113,1467,0,7024,96.73787132,0.31
26,Нет,1,Нет,6552,1,Нет,385762,Нет,Да,0,0,0,223,1528,0,0,0,0,0,0,0,0,0,0,0,0,1,25757,5689024,1520749.942,1484,1467,339,8780,121.5920067,0.46
27,Есть,1,Нет,14560,1,Есть,324194,Нет,Да,0,0,0,0,0,0,272,650,0,1404,3366,0,0,0,0,1,4,1,199467,2951872,3463690.807,0,0,0,878,533.7361022,0.53
28,Нет,1,Нет,3640,1,Есть,239538,Да,Нет,0,0,0,223,0,0,272,0,0,0,0,0,0,0,0,0,0,0,100033,7444096,1632884.464,1484,1956,0,7024,99.77654816,0.26
29,Нет,1,Нет,7280,1,Есть,221260,Нет,Нет,348,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122795,6678144,1812513.921,1113,1467,0,7024,123.4555323,0.46
30,Нет,1,Нет,3640,1,Нет,,Да,Нет,0,0,0,0,764,0,0,0,0,702,1683,0,0,0,0,0,0,0,130582,407616,458621.4148,371,489,0,878,511.785634,0.37
31,Есть,1,Нет,7280,1,Есть,303030,Да,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192279,8421248,1631926.145,1113,1467,0,5268,88.14730274,0.15
32,Нет,2,Нет,18200,1,Есть,295334,Нет,Нет,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,213843,2184512,2384080.898,371,0,339,878,496.4225913,0.32
33,Нет,3,Нет,5824,1,Есть,374218,Нет,Нет,0,0,0,0,0,0,0,0,0,702,1683,0,0,0,0,1,4,1,57504,1325632,1526881.193,0,0,0,1756,523.9227421,0.29
34,Есть,1,Нет,7280,0,Есть,402116,Да,Да,0,0,0,446,0,0,0,975,0,1404,4488,0,0,0,0,1,4,1,153943,4940672,1407538.34,1113,1467,0,3512,129.5863311,0.16
35,Есть,3,Нет,7280,0,Есть,288600,Нет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,64692,5907264,2842792.427,371,489,0,7902,218.8989882,0.41
36,Есть,2,Нет,0,1,Нет,170274,Нет,Нет,0,0,0,0,0,2085,0,3900,0,702,7293,0,465,0,650,1,5,1,475007,2160576,1518048.845,371,489,0,3512,319.5958875,0.33
37,Есть,2,Нет,3640,1,Есть,285714,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,211447,3481280,3189650.244,0,0,0,3512,416.7629396,0.39
38,Есть,4,Нет,5824,1,Есть,279942,Нет,Нет,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,1,4,0,204259,3937472,1183046.947,1113,1467,0,5268,136.6688329,0.34
39,Есть,1,Нет,4368,1,Есть,576238,Да,Нет,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,1,86256,6293056,2634703.226,742,978,0,5268,190.4386483,0.42
40,Нет,2,Нет,7280,1,Есть,301106,Нет,Нет,0,0,0,0,0,0,0,0,0,1404,2244,0,0,0,0,1,4,0,143760,368896,459024,0,0,0,0,566,0.4
41,Есть,1,Нет,8736,1,Есть,408850,Да,Да,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370781,4851264,1464258.753,1113,1467,0,7902,137.292845,0.47
42,Есть,1,Нет,7280,1,Есть,247234,Нет,Нет,0,0,0,0,764,0,0,325,0,0,0,0,0,0,650,0,0,0,13178,1175680,1462920,0,0,0,0,566,0.54
43,Нет,2,Нет,4368,1,Есть,316498,Нет,Нет,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155141,5668608,2158493.076,742,489,339,5268,173.2045189,0.55
44,Есть,1,Нет,5096,1,Есть,231842,,Нет,0,0,0,0,0,0,0,0,0,1404,6171,0,0,0,0,1,4,0,324658,381568,474792,0,0,0,0,566,0.41
45,Есть,2,Нет,14560,1,Есть,424242,Нет,Да,1392,0,0,446,764,0,0,0,0,702,2244,0,0,0,0,0,0,0,77870,8283264,2336149.704,1484,1956,0,10536,128.2874437,0.37
46,Нет,2,Нет,0,1,Есть,191438,Нет,Нет,0,1068,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,616371,1301696,1470618.677,371,489,0,2634,513.8963006,0.21
47,Есть,2,Нет,0,0,Есть,294372,,Нет,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145557,3254592,1408338.104,0,0,0,2634,196.8318442,0.03
48,Есть,4,Нет,36400,1,Есть,216450,Нет,Нет,0,0,0,669,0,0,0,0,0,1404,5610,0,0,0,650,0,0,0,364791,5656640,1404096.047,371,489,0,7024,112.9076219,0.26
49,Нет,1,Нет,5824,1,Есть,298220,Нет,Нет,0,0,0,223,764,0,0,1300,0,0,0,0,0,0,0,1,4,1,39534,8213568,2060997.866,1484,1467,339,7902,114.1381082,0.47
50,Есть,2,Нет,7280,1,Есть,340548,Нет,Нет,1044,0,441,223,0,0,272,650,0,0,0,0,0,0,0,1,4,1,67687,2466816,1474181.184,0,0,0,5268,271.8310677,0.18
51,Нет,1,Нет,2184,1,Есть,259740,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370182,2297152,1388293.132,371,489,0,4390,274.9010675,0.33
52,Есть,1,Нет,21840,1,Есть,221260,Нет,Нет,0,0,0,0,0,0,0,2275,0,0,0,0,0,0,0,1,5,1,460631,2002176,1597526.763,371,489,0,6146,362.9366911,0.48
53,Нет,2,Нет,5824,0,Нет,296296,Нет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,28153,,1541082.604,1113,978,339,7902,97.90779955,0.37
54,Есть,1,Нет,7280,0,Есть,366522,Нет,Да,0,0,0,0,0,0,0,650,0,702,7293,0,0,0,0,1,5,0,22163,4324672,1488890.225,742,978,0,4390,156.6009847,0.37
55,Есть,2,Нет,2184,1,Есть,237614,Нет,Нет,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,34143,4052928,1158909.362,742,978,0,4390,130.066534,0.22
56,Нет,1,Нет,5096,0,Есть,161616,Нет,Нет,0,1068,0,0,764,0,0,325,0,0,0,0,0,750,650,0,0,0,180898,2552704,941708.9028,371,489,0,4390,167.803572,0.32
57,Есть,3,Нет,4368,1,Нет,432900,Нет,Да,0,1068,0,0,1528,0,0,0,0,0,0,0,0,750,0,0,0,0,183294,5622144,3234259.41,0,0,0,5268,261.6723712,0.26
58,Есть,2,Да,7280,1,Есть,358826,Нет,Нет,348,0,0,0,764,0,0,650,0,2106,4488,0,0,0,0,1,4,1,732577,1563584,815778.498,371,489,0,7902,237.3209185,0.41
59,Нет,1,Нет,3640,0,Нет,461760,Нет,Да,348,0,0,0,1528,0,0,650,0,0,0,0,0,0,0,0,0,0,93444,3944512,1723548.813,1113,1467,0,4390,198.7537311,0.49
60,Есть,2,Нет,8736,0,Есть,282828,Нет,Да,0,1602,0,223,764,834,0,325,0,2106,12342,0,930,750,0,1,4,1,39534,8668352,1006330.237,1113,978,339,8780,52.80669234,0.47
61,Есть,2,Нет,7280,1,Есть,338624,Нет,Да,0,0,0,0,0,0,0,975,0,1404,13464,0,0,0,0,1,4,1,304891,619520,725436.8857,0,0,0,878,532.6344919,0.67
62,Нет,1,Нет,21840,1,Есть,359788,,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91048,5385600,3053394.746,742,978,0,1756,257.8896092,0.51
63,Есть,1,Нет,8736,1,Есть,235690,Нет,Нет,0,0,0,0,764,0,0,0,0,1404,2244,0,0,0,0,0,0,0,338435,397760,494940,0,0,0,0,566,0.49
64,Есть,2,Нет,0,1,Есть,190476,Нет,Нет,0,0,0,0,0,2085,0,0,0,1404,9537,0,930,0,1300,1,5,0,298302,5367296,1690997.813,742,978,0,7902,143.3086756,0.27
65,Есть,1,Нет,29120,1,Есть,304954,Нет,Нет,1044,0,0,0,0,0,0,13000,0,0,0,0,0,0,650,1,4,0,57504,2749824,675088.3432,371,0,339,6146,111.6710744,0.14
66,Есть,1,Нет,10920,1,Есть,380952,Да,Да,0,0,0,446,0,0,0,2275,0,0,0,0,0,0,0,1,4,0,172512,2670976,2004506.724,742,978,0,4390,341.3677708,0.28
67,Есть,2,Нет,7280,1,Нет,349206,Нет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1,5,1,194076,1881088,1230004.397,742,978,0,2634,297.4284686,0.25
68,Нет,2,Нет,7280,1,Есть,349206,Нет,Нет,3132,0,0,0,2292,0,0,650,0,0,0,0,0,0,650,0,0,1,137770,3434816,793178.9185,742,489,339,6146,105.039506,0.55
69,Есть,2,Нет,2912,1,Есть,233766,Нет,Нет,348,0,0,0,0,0,0,2600,0,0,0,0,0,0,650,0,0,0,428884,2143680,866801.8955,371,489,0,5268,183.9267431,0.36
70,Есть,1,Нет,21840,1,Есть,415584,Да,Нет,0,0,0,223,0,0,0,0,0,0,0,0,0,0,650,0,0,0,44925,10179136,3787178.601,371,489,0,8780,169.2348705,0.33
71,Есть,1,Нет,5824,1,Есть,251082,Нет,Да,0,0,0,0,0,0,0,0,0,1404,14586,0,0,0,650,1,6,1,236006,2009920,559744.39,742,978,0,2634,126.676473,0.42
72,Есть,2,Да,0,1,Нет,294372,Нет,Нет,348,0,0,0,0,0,0,3250,0,1404,4488,737,0,0,0,1,4,0,5990,1046848,550240.08,0,0,0,3512,239.0856873,0.4
73,Есть,1,Нет,0,1,Есть,427128,Нет,Да,348,1602,0,0,0,1251,0,325,0,702,6171,737,465,375,0,0,0,0,389949,3974784,1587385.676,742,978,0,4390,181.6577408,0.47
74,Есть,1,Нет,7280,1,Есть,359788,Нет,Нет,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,1,6,1,112013,2289408,1894718.728,371,489,0,878,376.449336,0.47
75,Нет,1,Нет,7280,1,Есть,430014,Нет,Нет,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315673,371008,461652,0,0,0,0,566,0.65
76,Нет,1,Нет,0,1,Есть,239538,Нет,Нет,0,0,0,0,0,0,0,0,0,1404,12342,0,0,0,0,1,5,1,586421,1240448,1208554.067,0,0,0,878,443.1721957,0.46
77,Есть,1,Нет,29120,1,Есть,342472,Нет,Нет,0,0,0,0,0,1251,0,6175,0,702,10098,1474,465,0,0,1,4,1,59301,2747712,1562377.525,371,489,0,4390,258.6424209,0.41
78,Есть,1,Да,3640,1,Нет,255892,Нет,Да,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,270149,1788160,1587910.142,0,0,0,3512,403.9285319,0.16
79,Нет,1,Нет,10920,1,Нет,309764,Да,Нет,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,1,5,1,30549,3705152,959368.2595,742,978,0,11414,117.7780338,0.2
80,Есть,1,Нет,7280,1,Есть,158730,Нет,Нет,0,0,0,223,764,0,0,0,0,702,1122,0,0,0,650,1,4,0,202462,4630912,1475102.136,742,978,0,6146,144.8907124,0.44
81,Есть,1,Нет,14560,1,Есть,276094,Нет,Нет,696,0,0,223,0,0,0,650,0,0,0,0,0,0,0,0,0,0,365989,3590400,1033796.055,1113,1467,0,7024,130.9715657,0.16
82,Есть,1,Нет,8736,0,Есть,242424,Да,Нет,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,0,1,5,0,352212,1548096,1481491.73,742,978,0,3512,435.2976544,0.81
